type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
video	post_user_1684481268504254	1684481268504254_1985679361717775	https://www.facebook.com/1684481268504254/posts/1985679361717775	"Victor Alejandro Acosta Öf̲̲̅̅ı̲̲̅̅c̲̲̅̅ı̲̲̅̅a̲̲̅̅l̲̲̅̅ ̲̲̅̅F̲̲̅̅b shared Zona Deportiva s video to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/22183883_271361513383506_6492087125125627904_n.jpg?oh=3a90adeea840bd067f7cfc2d4c7f00f7&oe=5A85A571	https://scontent.xx.fbcdn.net/v/t15.0-10/22183883_271361513383506_6492087125125627904_n.jpg?oh=e2f479c020390210b997c2c9576be81d&oe=5A87439C	https://www.facebook.com/zonadeportivaXX/videos/271359483383709/	facebook.com	2017-10-01T14:52:15+0000	1506869535	"2017-10-01 16:52:15"	3	0	3	0	3	0	0	0	0	0	3	0	0	0	0	0	0
video	post_user_1684481268504254	1684481268504254_1985613185057726	https://www.facebook.com/1684481268504254/posts/1985613185057726	"Marcelo Sarni shared Futbolizimo s live video to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/22198221_1644428268934954_3551397586776621056_n.jpg?oh=bd1b5b638c1c41d115ad582a73b40e20&oe=5A3FE6FE	https://scontent.xx.fbcdn.net/v/t15.0-10/22198221_1644428268934954_3551397586776621056_n.jpg?oh=82551c49f0ad231fb1e17c3d38e75b4e&oe=5A86F985	https://www.facebook.com/futbolizimo/videos/1644414565602991/	facebook.com	2017-10-01T12:20:51+0000	1506860451	"2017-10-01 14:20:51"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
video	post_user_1684481268504254	1684481268504254_1985365158415862	https://www.facebook.com/1684481268504254/posts/1985365158415862	"Victor Alejandro Acosta Öf̲̲̅̅ı̲̲̅̅c̲̲̅̅ı̲̲̅̅a̲̲̅̅l̲̲̅̅ ̲̲̅̅F̲̲̅̅b shared Zona Deportiva s video to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/22162150_271014663418191_3217220006974586880_n.jpg?oh=6d49080ac1ebc600fb46cda14c0eef1c&oe=5A79E003	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/22162150_271014663418191_3217220006974586880_n.jpg?oh=9024273b3527b27bd0b65048e2e4989c&oe=5A4427B9	https://www.facebook.com/zonadeportivaXX/videos/271010786751912/	facebook.com	2017-09-30T21:12:49+0000	1506805969	"2017-09-30 23:12:49"	6	0	6	0	6	0	0	0	0	0	6	0	0	0	0	0	0
video	post_user_1684481268504254	1684481268504254_1985345055084539	https://www.facebook.com/1684481268504254/posts/1985345055084539	"Ebercito Lazarito shared FIBA3x3 s live video to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/22162524_1756622424362436_4720604202915594240_n.jpg?oh=51a6882313541f333f4f5c86c8f8c983&oe=5A8456DF	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/22162524_1756622424362436_4720604202915594240_n.jpg?oh=0abcd7e725822d134abf8496dbf006e7&oe=5A8137FD	https://www.facebook.com/FIBA3x3/videos/1756425924382086/	facebook.com	2017-09-30T20:10:40+0000	1506802240	"2017-09-30 22:10:40"	2	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0
status	post_user_1684481268504254	1684481268504254_1985340531751658	https://www.facebook.com/1684481268504254/posts/1985340531751658	"Leganés vs atlético de Madrid"					2017-09-30T19:53:14+0000	1506801194	"2017-09-30 21:53:14"	5	0	5	1	6	0	0	0	0	0	5	0	0	0	0	0	0
link	post_user_1684481268504254	1684481268504254_1985335221752189	https://www.facebook.com/1684481268504254/posts/1985335221752189	"Golazo de neymar"	https://external.xx.fbcdn.net/safe_image.php?d=AQAqz7q3BREpFvcu&url=https%3A%2F%2Fmedia.giphy.com%2Fmedia%2F3ohhwfYXNHkgBtDQdi%2Fgiphy-downsized-large.gif&_nc_hash=AQBuwZOFOywrXyre	https://external.xx.fbcdn.net/safe_image.php?d=AQAqz7q3BREpFvcu&url=https%3A%2F%2Fmedia.giphy.com%2Fmedia%2F3ohhwfYXNHkgBtDQdi%2Fgiphy-downsized-large.gif&_nc_hash=AQBuwZOFOywrXyre	https://media.giphy.com/media/3ohhwfYXNHkgBtDQdi/giphy-downsized-large.gif	media.giphy.com	2017-09-30T19:33:18+0000	1506799998	"2017-09-30 21:33:18"	7	0	7	0	7	0	0	0	0	0	7	0	0	0	0	0	0
video	post_user_1684481268504254	1684481268504254_1985334905085554	https://www.facebook.com/1684481268504254/posts/1985334905085554	"Ebercito Lazarito shared Aztecas Udlap s live video to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/22207681_1942955812387658_2438104087552589824_n.jpg?oh=6ab52d3c390e8728d4d789ac33471059&oe=5A4EFC5B	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/22207681_1942955812387658_2438104087552589824_n.jpg?oh=b18d85f97b944fb84b743e2474d65149&oe=5A793279	https://www.facebook.com/Aztecas.Udlap/videos/1942770682406171/	facebook.com	2017-09-30T19:31:52+0000	1506799912	"2017-09-30 21:31:52"	4	0	4	0	4	0	0	0	0	0	4	0	0	0	0	0	0
video	post_user_1684481268504254	1684481268504254_1985334668418911	https://www.facebook.com/1684481268504254/posts/1985334668418911	"Ebercito Lazarito shared WWE Fans - American Nightmare s live video to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/22200875_508292269514841_6995415184357457920_n.jpg?oh=1df2747bd057fa589df94930aa8a3613&oe=5A7DA527	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/22200875_508292269514841_6995415184357457920_n.jpg?oh=f7c92ef59b98bd8c077d251d5b345574&oe=5A79569D	https://www.facebook.com/FansLAWWE/videos/508259252851476/	facebook.com	2017-09-30T19:31:01+0000	1506799861	"2017-09-30 21:31:01"	9	0	9	1	10	0	0	0	0	0	9	0	0	0	0	0	0
video	post_user_1684481268504254	1684481268504254_1985332425085802	https://www.facebook.com/1684481268504254/posts/1985332425085802	"Ebercito Lazarito shared Ags Sports s live video to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/22162503_1501591926574929_8574111369840820224_n.jpg?oh=3a2860d2824dc544ad1d9f9aad538302&oe=5A3D931D	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/22162503_1501591926574929_8574111369840820224_n.jpg?oh=2560fbf6df7224098dc3c67ff8db4ca3&oe=5A3E0F3F	https://www.facebook.com/agssport/videos/1501568429910612/	facebook.com	2017-09-30T19:21:49+0000	1506799309	"2017-09-30 21:21:49"	3	0	4	0	4	0	0	0	0	0	3	1	0	0	0	0	0
status	post_user_1684481268504254	1684481268504254_1985321848420193	https://www.facebook.com/1684481268504254/posts/1985321848420193	"Atlético de Madrid vs Leganés   Liga española"					2017-09-30T18:46:07+0000	1506797167	"2017-09-30 20:46:07"	12	0	12	2	14	0	0	0	0	0	12	0	0	0	0	0	0
